shapeid,x,y,address
153,-73.8431412619,40.8415595349,55 Westchester Square
154,-73.8354332694,40.874456781,3121 New England Thruway
155,-73.9283412837,40.8403148331,1278 Maj Wm Deegan Boulevard
156,-73.8164958744,40.8276535669,638 Throgs Neck Expressway Sr
157,-73.7506393316,40.7740516972,36-2 237th Street
158,-73.7300932138,40.6647098746,248-10 Ocean Avenue
159,-73.7751750196,40.7154002202,187-18 87th Drive
160,-73.7506779231,40.7780105554,237-23 31st Avenue
161,-73.7480532805,40.7770201618,327 33rd Avenue
162,-73.7471917183,40.7332226333,222-11 Grand Central Parkway
163,-73.7784817737,40.7629636929,39-9 207th Street
164,-73.9119871718,40.7250094158,58-1 56th Road
165,-73.8464542561,40.6730968736,89-28 135th Avenue
166,-73.7519359182,40.7786875295,113 30th Avenue
167,-73.775134394,40.6887157863,116-1 173rd Street
168,-74.0095423519,40.7048639296,3 Hanover Square
169,-73.8323610153,40.7529396276,44-29 Lawrence Street
170,-73.8893960716,40.7271411837,72-5 57th Drive
171,-73.814419615,40.7535120523,146-26 46th Avenue
172,-73.8068912539,40.781788549,18-39 Clintonville Street
173,-73.8112192666,40.5917255335,6 Bayside Dock
174,-73.7472280543,40.7771602811,240-51 33rd Avenue
175,-73.8353623492,40.6782528068,103-10 109th Avenue
176,-73.9545136454,40.811751846,411 Dr M L King Jr Boulevard
177,-73.7481378915,40.7725549656,239 Hillside Avenue
178,-73.8545596294,40.8987299122,689 East 238th Street
179,-73.8555392288,40.8111981619,264 Soundview Avenue
180,-74.003242373,40.5759292008,34 Tudor Terrace
181,-73.8832241739,40.8503117432,790 Old Kingsbridge Road
182,-73.7965434672,40.6863618124,111-57 Liverpool Street
183,-73.7744841221,40.683366568,119-34 171st Street
184,-73.7971102504,40.6875136438,111-13 Liverpool Street
185,-73.8215138877,40.6046539923,31 12th Road
186,-73.8069810236,40.6875741987,138-15 Hawtree Creek Road
187,-73.773453285,40.7497309408,53-7 205th Street
188,-73.7754766817,40.68860511,116-2 173rd Street
189,-73.8258659736,40.7909223699,144-17 Center Drive
190,-73.7474217006,40.7744505238,36-15 240th Street
191,-73.8213348421,40.6046369955,29 12th Road
