"shapeid","x","y","house_num","special_co","streetname"
"3147","-73.8476979822","40.7188526164","68","A","DARTMOUTH STREET"
"3148","-73.750221727","40.7808987912","337","A","KENMORE ROAD"
"3149","-73.9195107088","40.7254108062","56-075","A","49 STREET"
"3150","-73.7497178898","40.5983054906","4","A","OSTEND PLACE"
"3151","-73.7438884102","40.5980169126","2","A","JARVIS AVENUE"
"3152","-73.7413038661","40.7540165548","62-077","A","DOUGLASTON PARKWAY"
"3153","-73.8821055205","40.8295329092","1236","A","BRONX RIVER AVENUE"
"3154","-73.8373654847","40.7149231378","298","A","BURNS STREET"
"3155","-73.7483541604","40.7773670517","324","A","BEVERLY ROAD"
"3156","-73.8423095172","40.7162553738","11","A","GREENWAY NORTH"
"3157","-73.8359455328","40.7124991475","16","A","UPSHAW ROAD"
"3158","-73.8398321354","40.7167757159","182","A","BURNS STREET"
"3159","-73.9732233645","40.7941858418","22","A","POMANDER WALK"
"3160","-73.8476522427","40.8135433493","66","A","HOWE AVENUE"
"3161","-73.8995141888","40.7203638125","53","A","59 AVENUE"
"3162","-73.8292250852","40.7113461795","101","A","82 ROAD"
"3163","-73.750522338","40.7759135935","215","A","HOLLYWOOD AVENUE"
"3164","-73.83041259","40.712868211","106","A","81 AVENUE"
"3165","-73.9876652595","40.5832953906","163","A","BAY 52 STREET"
"3166","-73.8107527777","40.7590876491","266","A","CHERRY AVENUE"
"3167","-73.8558325853","40.8086990512","3","A","DUNE COURT"
"3168","-73.8261122344","40.7909088999","19","A","9 AVENUE"
"3169","-73.8291568514","40.7905662013","39","A","NORTH DRIVE"
"3170","-73.8470193643","40.7155141474","49","A","GROTON STREET"
"3171","-73.740635116","40.75346139","63-073","A","DOUGLASTON PARKWAY"
"3172","-73.8425592802","40.6944656494","135","A","88 AVENUE"
"3173","-73.8446885994","40.7179405969","31","A","GREENWAY TERRACE"
"3174","-73.9166602335","40.7768018557","162","A","23 AVENUE"
"3175","-73.8812811526","40.7044255317","2868","A","CENTRAL AVENUE"
"3176","-73.842106899","40.7124505292","60","A","INGRAM STREET"
"3177","-73.8317512354","40.7090292481","101","A","AUDLEY STREET"
"3178","-73.7498061227","40.7792313201","342","A","RICHMOND ROAD"
"3179","-74.0909665021","40.6144747614","12","A","CAMPUS ROAD"
"3180","-74.0929637462","40.6152067495","15","A","CAMPUS ROAD"
"3181","-73.8970655777","40.6339864282","11","A","SCHENCK PLACE"
"3182","-74.1517156396","40.6151922254","456-02","A","CASWELL AVENUE"
"3183","-74.1521220885","40.6146296986","407-02","A","WILLOW ROAD EAST"
"3184","-74.1515612354","40.614861664","444-01","A","CASWELL AVENUE"
"3185","-74.1515778801","40.614847026","444-02","A","CASWELL AVENUE"
"3186","-74.1514492358","40.6142346556","415-02","A","WILLOW ROAD EAST"
"3187","-74.1524153179","40.6140950113","443-01","A","WILLOW ROAD EAST"
"3188","-74.1516852646","40.6129317341","481-02","A","WILLOW ROAD EAST"
"3189","-74.150951289","40.6128223408","495-02","A","WILLOW ROAD EAST"
"3190","-74.1510001099","40.6124174904","511-01","A","WILLOW ROAD EAST"
"3191","-74.1055185566","40.6242124277","82","A","WHITEWOOD AVENUE"
"3192","-74.1994098456","40.5144694551","23","A","BROKEN SHELL ROAD"
"3193","-74.1379551257","40.5710015926","35","A","KENSICO STREET"
"3194","-74.2220858308","40.5355421033","100","A","ROBIN COURT"
"3195","-74.1388427481","40.5464976497","33","A","YACHT CLUB COVE"
"3196","-74.1653916269","40.5345010919","6","A","KOCH BOULEVARD"
"3197","-73.828484213","40.653577505","65","A","DAVENPORT COURT"
"3198","-73.7412490858","40.6883686292","222-005","A","FRANCIS LEWIS BOULEVARD"
"3199","-73.8378765283","40.7148975632","285","A","BURNS STREET"
"3200","-73.7416068289","40.5980801904","637","A","JARVIS AVENUE"
"3201","-73.838087831","40.7135361635","53","A","UNDERWOOD ROAD"
"3202","-74.1598083384","40.5403908706","281","A","SYCAMORE STREET"
"3203","-73.8272445977","40.7056128123","52","A","124 PLACE"
"3204","-74.1181614311","40.5541186014","528","A","MERKEL PLACE"
"3205","-73.8379689359","40.7154069813","272","A","BURNS STREET"
"3206","-73.7490463674","40.7792604107","347","A","MARINETTE STREET"
"3207","-73.7484658116","40.7459063054","68-037","A","CLOVERDALE LANE"
"3208","-73.8912887","40.7023441341","2585","A","CENTRAL AVENUE"
"3209","-73.7392466655","40.753577661","63-051","A","DOUGLASTON PARKWAY"
"3210","-73.924960419","40.6380178237","21","A","PRESTON COURT"
"3211","-73.8328534376","40.7087954511","109","A","AUDLEY STREET"
"3212","-73.8556996067","40.8087164066","1","A","DUNE COURT"
"3213","-73.8378395153","40.7153028262","278","A","BURNS STREET"
"3214","-73.7524235939","40.7783927143","110","A","WARWICK AVENUE"
"3215","-73.9956944579","40.731522597","54","A","WASHINGTON MEWS"
"3216","-73.747068525","40.601954668","5","A","HURLEY COURT"
"3217","-73.7513446616","40.7757724299","137","A","HOLLYWOOD AVENUE"
"3218","-73.8889155822","40.5663717756","80","A","CHURCH AVENUE"
"3219","-73.9252571055","40.6375920808","8","A","PRESTON COURT"
"3220","-73.8293338579","40.7057448036","273","A","BREVOORT STREET"
"3221","-73.9051074323","40.7019949718","5719","A","PUTNAM AVENUE"
"3222","-73.8444842708","40.7169963345","73","A","GREENWAY TERRACE"
"3223","-73.7404865628","40.5987356129","602","A","JARVIS AVENUE"
"3224","-73.7464142067","40.6026158969","9-020","A","GARDEN COURT"
"3225","-73.7478257492","40.6002616944","1330","A","GRANDVIEW TERRACE"
"3226","-73.7486649778","40.7744959062","246","A","PARK LANE"
"3227","-73.9357962262","40.5834357918","9","A","SHALE STREET"
"3228","-73.7295976405","40.6631252296","250-014","A","HOOK CREEK BOULEVARD"
"3229","-73.7771510092","40.7168864315","186-021","A","CHELSEA STREET"
"3230","-73.7478605479","40.777044095","335","A","MANOR ROAD"
"3231","-73.9071984691","40.709301365","516","A","GRANDVIEW AVENUE"
"3232","-73.7409431057","40.5985516972","618","A","JARVIS AVENUE"
"3233","-73.7504938204","40.7777118851","228","A","GROSVENOR STREET"
"3234","-73.7490540662","40.7779583578","320","A","GROSVENOR STREET"
"3235","-73.9094710461","40.7106543864","446","A","GRANDVIEW AVENUE"
"3236","-73.9250717079","40.6379473048","17","A","PRESTON COURT"
"3237","-73.9958532755","40.7315894744","58","A","WASHINGTON MEWS"
"3238","-73.879506452","40.6817068446","3131","A","ARLINGTON AVENUE"
"3239","-73.7457053673","40.7722241717","37","A","38 DRIVE"
"3240","-73.8415128398","40.7121607043","154","A","75 ROAD"
"3241","-73.8575981287","40.8100759221","1506","A","UNDERHILL AVENUE"
"3242","-73.8418950212","40.6946340002","153","A","88 AVENUE"
"3243","-73.7499437985","40.6031643019","14","A","SCOTT A GADELL PLACE"
"3244","-73.7410691481","40.6875744636","120-086","A","121 AVENUE"
"3245","-73.7498509278","40.7757233569","222","A","HOLLYWOOD AVENUE"
"3246","-73.8406428718","40.7122977829","210","A","GREENWAY SOUTH"
"3247","-73.7516739433","40.7821001118","1114","A","SHORE ROAD"
"3248","-73.8479624042","40.7158505286","35","A","GROTON STREET"
"3249","-73.9098976773","40.7208000679","23-030","A","58 AVENUE"
"3250","-73.7404969475","40.7534669355","63-071","A","DOUGLASTON PARKWAY"
"3251","-73.8557535097","40.8083709114","8","A","BANES COURT"
"3252","-73.9116816184","40.8800623787","1","A","RIVERDALE AVENUE"
"3253","-73.8476628279","40.8135852155","65","A","HOWE AVENUE"
"3254","-73.7410375946","40.7542516401","62-071","A","DOUGLASTON PARKWAY"
"3255","-73.8388839386","40.716122685","220","A","BURNS STREET"
"3256","-73.8801421988","40.7049724019","2903","A","CENTRAL AVENUE"
"3257","-73.7505952778","40.7762837116","214","A","MANOR ROAD"
"3258","-73.9215652933","40.7218265277","56-035","A","48 STREET"
"3259","-73.7469429886","40.7728331233","301","A","38 ROAD"
"3260","-73.8437263408","40.7127597273","11","A","INGRAM STREET"
"3261","-73.7466237337","40.7765446752","355","A","HOLLYWOOD AVENUE"
"3262","-73.9285411489","40.7291734824","34-052","A","LAUREL HILL BOULEVARD"
"3263","-73.8642031949","40.682216336","7420","A","95 AVENUE"
"3264","-73.835757369","40.7134183357","386","A","BURNS STREET"
"3265","-73.8243027591","40.7908974434","1","A","9 AVENUE"
"3266","-73.9156956372","40.7765445764","181","A","23 AVENUE"
"3267","-73.8639076438","40.8521891244","2070","A","ANTIN PLACE"
"3268","-73.7504781621","40.7805450302","330","A","KENMORE ROAD"
"3269","-73.8844511904","40.7039786383","2777","A","CENTRAL AVENUE"
"3270","-73.739751838","40.6000122889","526","A","MEEHAN AVENUE"
"3271","-73.749609324","40.7771605417","252","A","BEVERLY ROAD"
"3272","-73.8249106007","40.7873643882","7","A","HILL COURT"
"3273","-73.8383435851","40.7157061544","258","A","BURNS STREET"
"3274","-73.8370728168","40.7175748457","11","A","75 ROAD"
"3275","-73.7405898201","40.5983791025","607","A","JARVIS AVENUE"
"3276","-73.8392635346","40.7143580756","132","A","GREENWAY NORTH"
"3277","-73.8400947428","40.7157070026","30","A","BEECHKNOLL ROAD"
"3278","-73.8455543086","40.7172951795","37","A","BOW STREET"
"3279","-73.8294721108","40.7899993164","43","A","141 STREET"
"3280","-73.9628681887","40.6346024096","28","A","NEWKIRK PLAZA"
"3281","-73.8313121306","40.7122599678","118","A","81 AVENUE"
"3282","-73.9641757307","40.5801601862","31","A","BRIGHTON 4 WALK"
"3283","-73.7485443402","40.7733139011","237","A","FOREST ROAD"
"3284","-73.842560714","40.7147416897","122","A","ASCAN AVENUE"
"3285","-73.8106130652","40.7591228701","270","A","CHERRY AVENUE"
"3286","-73.8363938572","40.7118168474","49","A","MARKWOOD PLACE"
"3287","-73.7473548159","40.7778274099","363","A","BEVERLY ROAD"
"3288","-73.7507695874","40.7723720579","17","A","CEDAR LANE"
"3289","-73.8347139449","40.7087075838","124","A","AUDLEY STREET"
"3290","-73.8654458799","40.6819132492","7314","A","95 AVENUE"
"3291","-73.8633117596","40.67979805","467","A","DREW STREET"
"3292","-73.7516559315","40.7743241572","115","A","PARK LANE"
"3293","-73.8411016168","40.6950121961","179","A","88 AVENUE"
"3294","-74.0822204219","40.6420775321","85","A","FT HILL CIRCLE"
"3295","-74.1538408973","40.634374063","20","A","BEAMER COURT"
"3296","-74.152312641","40.614681956","403-01","A","WILLOW ROAD EAST"
"3297","-74.1522084972","40.6146551428","405-02","A","WILLOW ROAD EAST"
